FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14,FFT15,FFT16,FFT17,FFT18,FFT19,FFT20,FFT21,FFT22,FFT23,FFT24,FFT25,FFT26,FFT27,FFT28,FFT29,FFT30,FFT31,FFT32,FFT33,FFT34,FFT35,FFT36,FFT37,FFT38,FFT39,FFT40,FFT41,FFT42
385,18003,22905,7309,9503,2718,2479,1472,1498,1208,1277,1295,1134,1105,896,542,646,381,478,519,560,465,466,900,676,398,392,424,550,580,398,596,945,643,494,343,365,391,466,279,0,0
445,16094,22903,7447,9537,2579,2430,1352,1329,1151,1160,1091,1039,1011,878,474,618,326,393,471,584,401,398,882,649,328,345,374,517,651,382,535,899,605,492,323,316,364,446,259,0,0
493,15137,22249,8148,9165,2607,2295,1090,1257,935,1182,911,1097,912,774,477,625,323,365,398,575,330,351,907,601,257,265,280,560,688,383,496,815,537,511,310,311,362,450,228,0,0
503,14628,21397,8743,8814,2540,2099,1107,1156,809,1239,815,1080,792,714,535,710,436,384,378,504,299,347,970,582,242,216,247,538,674,359,507,707,467,549,306,323,324,442,225,0,0
499,13876,20353,8937,9149,2681,1935,1302,1352,800,1313,731,938,764,706,598,850,628,386,395,424,291,333,989,528,274,233,260,497,635,347,574,606,431,571,319,296,321,434,208,0,0
420,12727,18917,8549,9800,3024,1853,1400,1452,869,1336,784,934,815,748,619,999,798,354,393,383,297,352,1065,500,326,229,259,482,593,365,655,513,451,560,333,321,302,397,216,0,0
451,11390,17168,7726,10358,3280,1817,1620,1648,979,1327,783,914,808,793,609,1068,934,320,438,347,334,387,1117,460,400,270,301,426,541,371,710,457,466,563,334,362,265,371,208,0,0
468,10022,15263,6468,10720,3520,1872,1906,1857,1000,1316,873,943,857,846,655,1010,1031,344,432,349,346,415,1074,401,479,312,291,434,457,404,755,475,433,575,374,376,255,369,227,0,0
453,8713,13301,4892,10189,3162,2023,1916,1792,1047,1271,836,1088,972,882,751,917,1097,378,396,399,393,455,1068,377,500,327,274,445,411,411,771,531,382,578,410,447,232,352,243,0,0
513,7419,11380,3761,9189,2710,1964,2088,1850,944,1240,790,1047,985,881,858,816,1115,408,456,373,397,504,1007,338,572,342,304,403,380,401,774,635,342,580,418,494,244,343,265,0,0
507,5995,9461,3094,8393,2305,1907,2123,1791,899,1289,885,982,992,869,958,788,1151,424,531,351,396,587,935,301,623,322,298,388,340,419,790,753,348,581,417,493,262,327,287,0,0
587,4708,7818,2748,7766,1972,1614,1975,1778,916,1137,800,951,920,740,950,843,1153,393,631,311,373,590,936,318,664,299,357,389,332,383,782,830,415,595,381,469,239,282,297,0,0
589,4006,6996,2708,7347,2083,1394,1992,1823,787,1047,810,939,761,606,908,896,1117,409,735,291,337,683,895,331,714,268,423,398,318,365,746,865,481,641,326,419,226,257,283,0,0
626,3992,7167,2548,7020,2102,1338,1862,1918,806,978,757,976,588,494,872,933,1068,469,732,324,345,742,877,359,713,283,435,402,299,378,680,847,489,649,315,357,202,269,286,0,0
675,4555,8049,2233,6741,2058,1147,1850,2029,764,778,646,1062,471,449,841,927,958,593,690,362,353,750,897,398,731,285,459,406,300,419,601,807,451,588,381,329,212,271,311,0,0
623,5515,8992,2001,6496,2314,1219,1616,2127,753,766,638,1166,513,479,804,885,774,771,682,406,367,845,849,408,674,278,478,395,330,518,504,761,384,468,499,310,226,277,332,0,0
691,6653,9334,2109,6231,2542,1336,1536,2164,795,718,632,1219,575,497,732,837,565,892,732,403,368,797,907,435,699,300,426,374,331,580,436,716,297,351,612,267,235,297,397,0,0
714,7887,8639,2562,5939,2403,1428,1476,2268,909,795,747,1158,650,564,638,828,424,956,828,440,422,812,858,477,645,335,446,392,347,589,415,693,247,295,646,269,279,296,387,0,0
624,9245,7273,3230,5945,2701,1864,1528,2203,1044,960,869,1200,739,639,534,874,347,927,851,466,437,838,862,485,627,381,512,432,393,556,433,680,219,314,617,281,285,306,402,0,0
612,10684,6271,3758,6087,2933,1897,1663,2172,1192,1075,1015,1327,893,778,518,979,435,827,847,545,528,784,851,563,625,450,494,450,472,498,521,689,227,420,606,314,331,375,393,0,0
610,12186,6346,4045,6133,2763,2148,1795,2091,1398,1257,1143,1335,993,882,538,1092,577,732,844,613,607,800,783,557,553,500,525,444,561,427,624,703,243,509,625,344,381,368,394,0,0
562,13638,7741,4171,5986,2939,2424,1905,1910,1563,1437,1278,1431,1015,919,620,1174,688,694,855,589,595,706,815,605,589,498,573,456,554,387,739,715,249,551,675,362,371,407,439,0,0
576,14885,9896,4163,5662,2909,2289,1888,1749,1619,1410,1346,1509,984,883,709,1189,770,744,871,627,691,658,741,621,531,528,553,472,510,382,851,724,263,509,678,394,378,451,447,0,0
567,15807,11541,4097,5356,2580,2690,2037,1680,1845,1561,1336,1501,917,764,761,1135,768,873,826,687,741,660,782,654,555,524,567,477,481,412,943,724,279,420,607,416,408,423,504,0,0
529,16287,11882,4069,5255,2578,2789,1871,1711,1858,1566,1397,1471,885,662,753,1009,741,979,766,729,698,622,721,673,547,521,634,493,492,460,997,700,291,337,520,409,402,456,484,0,0
508,16339,11019,3944,5259,2512,2755,1708,1694,1903,1386,1330,1460,917,643,719,870,718,1047,729,774,687,634,623,598,474,518,638,476,545,472,987,653,291,285,448,389,396,410,489,0,0
544,16018,9430,3641,5000,2223,2951,1434,1751,2010,1429,1255,1406,975,749,729,754,778,1066,771,732,613,571,569,569,486,494,645,441,521,455,931,591,285,300,455,366,409,344,513,0,0
555,15404,7852,3223,4613,2173,2749,1108,1609,1957,1206,1245,1212,898,826,695,620,828,987,810,603,465,466,406,412,424,481,685,403,412,399,835,507,244,311,468,333,357,282,532,0,0
508,14723,6732,2619,4493,2162,2470,915,1626,2032,1109,1108,1212,920,944,696,534,834,932,852,460,446,376,346,326,407,464,670,392,278,354,767,448,210,299,477,346,338,215,604,0,0
542,14308,5969,1963,4891,2403,2259,816,1538,2061,1056,1005,1316,1030,1091,718,504,805,913,856,401,440,318,369,287,458,454,701,419,193,365,745,397,188,294,461,313,336,232,683,0,0
508,14328,5512,1627,5381,2762,2096,765,1564,2172,960,906,1413,1163,1162,666,493,745,870,791,400,470,303,395,253,454,448,739,434,161,381,737,344,172,297,387,270,354,282,724,0,0
539,14743,5166,1614,5750,2993,2056,692,1556,2232,908,761,1568,1356,1219,591,506,689,840,731,412,555,306,447,227,454,427,763,456,153,390,728,297,161,309,310,250,420,359,712,0,0
540,15368,4933,1724,6076,3170,2219,670,1548,2259,793,733,1759,1505,1215,594,599,742,782,669,441,572,342,538,234,452,400,790,486,169,382,715,250,166,366,228,235,476,440,684,0,0
490,15902,5009,1781,6397,3240,2565,764,1606,2345,716,605,1861,1610,1126,573,650,833,712,624,427,570,361,580,201,415,409,770,487,172,351,679,237,171,413,154,263,541,476,624,0,0
517,16216,5255,1657,6787,3287,2805,819,1595,2352,627,613,1973,1577,1146,544,648,870,764,699,404,530,396,584,234,366,437,789,531,179,359,643,274,166,458,134,282,569,505,594,0,0
465,16727,5945,1693,7655,3337,2830,1044,1854,2263,677,664,1984,1577,1180,547,621,894,906,865,370,519,391,658,274,358,488,764,596,211,401,613,346,178,519,151,306,616,490,593,0,0
458,18038,7510,2488,8740,3177,2902,1348,1821,2300,944,921,1772,1691,1142,558,563,922,1103,1019,420,542,487,638,394,403,521,790,592,290,456,622,474,228,598,223,403,654,535,565,0,0
518,20663,10042,4185,9023,3337,3151,1688,2151,2339,1163,1293,1784,1836,1089,666,562,1040,1245,1070,573,634,614,696,510,467,619,897,606,385,477,677,632,329,665,346,533,657,561,611,0,0
